center,left,right,steering,throttle,brake,speed
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_06_667.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_06_667.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_06_667.jpg,-0.05,1.0,0,30.19068
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_50_823.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_50_823.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_50_823.jpg,0.0,1.0,0,30.19069
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_35_529.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_35_529.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_35_529.jpg,0.0,1.0,0,30.19027
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_54_769.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_54_769.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_54_769.jpg,0.05,1.0,0,30.18975
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_21_23_693.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_21_23_693.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_21_23_693.jpg,-0.1,1.0,0,30.18807
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_08_51_801.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_08_51_801.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_08_51_801.jpg,-0.2,1.0,0,30.18071
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_51_489.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_51_489.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_51_489.jpg,0.2,1.0,0,30.17889
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_06_20_636.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_06_20_636.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_06_20_636.jpg,0.0,1.0,0,30.18533
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_09_39_587.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_09_39_587.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_09_39_587.jpg,0.2,1.0,0,30.17989
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_22_42_822.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_22_42_822.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_22_42_822.jpg,0.0,1.0,0,30.18695
D:\DPS 920\DPS920_final_project\IMG\center_2026_07_28_11_07_43_215.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_07_28_11_07_43_215.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_07_28_11_07_43_215.jpg,0.0,1.0,0,30.19027
