center,left,right,steering,throttle,brake,speed
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_54_37_015.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_54_37_015.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_54_37_015.jpg,-0.1578947,1.0,0.0,30.18995
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_54_26_434.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_54_26_434.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_54_26_434.jpg,0.1917293,1.0,0.0,30.18083
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_51_29_854.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_51_29_854.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_51_29_854.jpg,-0.1992481,1.0,0.0,30.18994
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_59_19_171.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_59_19_171.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_59_19_171.jpg,-0.1203007,1.0,0.0,30.1902
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_51_12_543.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_51_12_543.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_51_12_543.jpg,-0.05639098,1.0,0.0,30.19031
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_53_29_945.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_53_29_945.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_53_29_945.jpg,-0.02631579,1.0,0.0,30.19026
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_01_36_198.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_01_36_198.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_01_36_198.jpg,0.007518797,1.0,0.0,30.19029
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_20_00_45_011.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_20_00_45_011.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_20_00_45_011.jpg,0.01503759,1.0,0.0,30.19048
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_50_42_916.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_50_42_916.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_50_42_916.jpg,-0.003759398,1.0,0.0,30.19031
D:\DPS 920\DPS920_final_project\IMG\center_2026_08_01_19_53_16_084.jpg,D:\DPS 920\DPS920_final_project\IMG\left_2026_08_01_19_53_16_084.jpg,D:\DPS 920\DPS920_final_project\IMG\right_2026_08_01_19_53_16_084.jpg,-0.09398497,1.0,0.0,30.19011
